name,code,full_name
UAE Dirham,AED,AED – UAE Dirham
Afghani,AFN,AFN – Afghani
Lek,ALL,ALL – Lek
Armenian Dram,AMD,AMD – Armenian Dram
Netherlands Antillean Guilder,ANG,ANG – Netherlands Antillean Guilder
Kwanza,AOA,AOA – Kwanza
Argentine Peso,ARS,ARS – Argentine Peso
Australian Dollar,AUD,AUD – Australian Dollar
Aruban Florin,AWG,AWG – Aruban Florin
Azerbaijan Manat,AZN,AZN – Azerbaijan Manat
Convertible Mark,BAM,BAM – Convertible Mark
Barbados Dollar,BBD,BBD – Barbados Dollar
Taka,BDT,BDT – Taka
Bulgarian Lev,BGN,BGN – Bulgarian Lev
Bahraini Dinar,BHD,BHD – Bahraini Dinar
Burundi Franc,BIF,BIF – Burundi Franc
Bermudian Dollar,BMD,BMD – Bermudian Dollar
Brunei Dollar,BND,BND – Brunei Dollar
Boliviano,BOB,BOB – Boliviano
Mvdol,BOV,BOV – Mvdol
Brazilian Real,BRL,BRL – Brazilian Real
Bahamian Dollar,BSD,BSD – Bahamian Dollar
Ngultrum,BTN,BTN – Ngultrum
Pula,BWP,BWP – Pula
Belarusian Ruble,BYN,BYN – Belarusian Ruble
Belize Dollar,BZD,BZD – Belize Dollar
Canadian Dollar,CAD,CAD – Canadian Dollar
Congolese Franc,CDF,CDF – Congolese Franc
WIR Euro,CHE,CHE – WIR Euro
Swiss Franc,CHF,CHF – Swiss Franc
WIR Franc,CHW,CHW – WIR Franc
Unidad de Fomento,CLF,CLF – Unidad de Fomento
Chilean Peso,CLP,CLP – Chilean Peso
Yuan Renminbi,CNY,CNY – Yuan Renminbi
Colombian Peso,COP,COP – Colombian Peso
Costa Rican Colon,CRC,CRC – Costa Rican Colon
Peso Convertible,CUC,CUC – Peso Convertible
Cuban Peso,CUP,CUP – Cuban Peso
Cabo Verde Escudo,CVE,CVE – Cabo Verde Escudo
Czech Koruna,CZK,CZK – Czech Koruna
Djibouti Franc,DJF,DJF – Djibouti Franc
Danish Krone,DKK,DKK – Danish Krone
Dominican Peso,DOP,DOP – Dominican Peso
Algerian Dinar,DZD,DZD – Algerian Dinar
Egyptian Pound,EGP,EGP – Egyptian Pound
Nakfa,ERN,ERN – Nakfa
Ethiopian Birr,ETB,ETB – Ethiopian Birr
Euro,EUR,EUR – Euro
Fiji Dollar,FJD,FJD – Fiji Dollar
Falkland Islands Pound,FKP,FKP – Falkland Islands Pound
Pound Sterling,GBP,GBP – Pound Sterling
Lari,GEL,GEL – Lari
Ghana Cedi,GHS,GHS – Ghana Cedi
Gibraltar Pound,GIP,GIP – Gibraltar Pound
Dalasi,GMD,GMD – Dalasi
Guinean Franc,GNF,GNF – Guinean Franc
Quetzal,GTQ,GTQ – Quetzal
Guyana Dollar,GYD,GYD – Guyana Dollar
Hong Kong Dollar,HKD,HKD – Hong Kong Dollar
Lempira,HNL,HNL – Lempira
Gourde,HTG,HTG – Gourde
Forint,HUF,HUF – Forint
Rupiah,IDR,IDR – Rupiah
New Israeli Sheqel,ILS,ILS – New Israeli Sheqel
Indian Rupee,INR,INR – Indian Rupee
Iraqi Dinar,IQD,IQD – Iraqi Dinar
Iranian Rial,IRR,IRR – Iranian Rial
Iceland Krona,ISK,ISK – Iceland Krona
Jamaican Dollar,JMD,JMD – Jamaican Dollar
Jordanian Dinar,JOD,JOD – Jordanian Dinar
Yen,JPY,JPY – Yen
Kenyan Shilling,KES,KES – Kenyan Shilling
Som,KGS,KGS – Som
Riel,KHR,KHR – Riel
Comorian Franc,KMF,KMF – Comorian Franc
North Korean Won,KPW,KPW – North Korean Won
Won,KRW,KRW – Won
Kuwaiti Dinar,KWD,KWD – Kuwaiti Dinar
Cayman Islands Dollar,KYD,KYD – Cayman Islands Dollar
Tenge,KZT,KZT – Tenge
Lao Kip,LAK,LAK – Lao Kip
Lebanese Pound,LBP,LBP – Lebanese Pound
Sri Lanka Rupee,LKR,LKR – Sri Lanka Rupee
Liberian Dollar,LRD,LRD – Liberian Dollar
Loti,LSL,LSL – Loti
Libyan Dinar,LYD,LYD – Libyan Dinar
Moroccan Dirham,MAD,MAD – Moroccan Dirham
Moldovan Leu,MDL,MDL – Moldovan Leu
Malagasy Ariary,MGA,MGA – Malagasy Ariary
Denar,MKD,MKD – Denar
Kyat,MMK,MMK – Kyat
Tugrik,MNT,MNT – Tugrik
Pataca,MOP,MOP – Pataca
Ouguiya,MRU,MRU – Ouguiya
Mauritius Rupee,MUR,MUR – Mauritius Rupee
Rufiyaa,MVR,MVR – Rufiyaa
Malawi Kwacha,MWK,MWK – Malawi Kwacha
Mexican Peso,MXN,MXN – Mexican Peso
Mexican Unidad de Inversion (UDI),MXV,MXV – Mexican Unidad de Inversion (UDI)
Malaysian Ringgit,MYR,MYR – Malaysian Ringgit
Mozambique Metical,MZN,MZN – Mozambique Metical
Namibia Dollar,NAD,NAD – Namibia Dollar
Naira,NGN,NGN – Naira
Cordoba Oro,NIO,NIO – Cordoba Oro
Norwegian Krone,NOK,NOK – Norwegian Krone
Nepalese Rupee,NPR,NPR – Nepalese Rupee
New Zealand Dollar,NZD,NZD – New Zealand Dollar
Rial Omani,OMR,OMR – Rial Omani
Balboa,PAB,PAB – Balboa
Sol,PEN,PEN – Sol
Kina,PGK,PGK – Kina
Philippine Peso,PHP,PHP – Philippine Peso
Pakistan Rupee,PKR,PKR – Pakistan Rupee
Zloty,PLN,PLN – Zloty
Guarani,PYG,PYG – Guarani
Qatari Rial,QAR,QAR – Qatari Rial
Romanian Leu,RON,RON – Romanian Leu
Serbian Dinar,RSD,RSD – Serbian Dinar
Russian Ruble,RUB,RUB – Russian Ruble
Rwanda Franc,RWF,RWF – Rwanda Franc
Saudi Riyal,SAR,SAR – Saudi Riyal
Solomon Islands Dollar,SBD,SBD – Solomon Islands Dollar
Seychelles Rupee,SCR,SCR – Seychelles Rupee
Sudanese Pound,SDG,SDG – Sudanese Pound
Swedish Krona,SEK,SEK – Swedish Krona
Singapore Dollar,SGD,SGD – Singapore Dollar
Saint Helena Pound,SHP,SHP – Saint Helena Pound
Leone,SLE,SLE – Leone
Leone,SLL,SLL – Leone
Somali Shilling,SOS,SOS – Somali Shilling
